	Row	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(Default)	Opportunity(Default)
386899	516305	78t79xOebG	Unit CTA1_10, Section CTA1_10-2	DIST06_SP	1	5+G = 7	2006-01-10 14:04:43.0	2006-01-10 14:04:48.0	2006-01-10 14:04:48.0	2006-01-10 14:04:48.0	5.0	5.0		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate positive; x+a=b, positive]	219~~33
384976	513488	78t79xOebG	Unit CTA1_02, Section CTA1_02-4	BH1T29	1	R1C1	2005-09-12 09:37:03.0	2005-09-12 09:37:58.0	2005-09-12 09:37:58.0	2005-09-12 09:37:58.0	55.0	55.0		1	0	0	1		
80773	107804	9493h91NUB	Unit CTA1_12, Section CTA1_12-6	SYSFB03	1	XLabel	2005-11-18 14:16:04.0	2005-11-18 14:16:06.0	2005-11-18 14:16:06.0	2005-11-18 14:16:06.0	2.0	2.0		1	0	0	1	Labelling the axes	28
141000	187855	9eV0EGVC6j	Unit CTA1_06, Section CTA1_06-2	L6FB06	1	R7C1	2006-03-08 08:29:13.0	2006-03-08 08:29:35.0	2006-03-08 08:41:52.0	2006-03-08 08:41:52.0	117.0		117.0	0	5	4	1	Using small numbers~~Find X, positive slope~~Using difficult numbers	160~~31~~73
240875	321127	z1iLCTB32T	Unit CTA1_13, Section CTA1_13-1	PROP03	1	R4C2	2006-01-24 15:15:42.0	2006-01-24 15:16:13.0	2006-01-24 15:16:13.0	2006-01-24 15:16:13.0	31.0	31.0		1	0	0	1	Entering a given	213
789408	1053317	U50h3ZFmGt	Unit CTA1_08, Section CTA1_08-2	REAL31	1	R1C2	2006-03-02 08:28:53.0	2006-03-02 08:29:02.0	2006-03-02 08:29:02.0	2006-03-02 08:29:02.0	9.0	9.0		1	0	0	1		
613892	818413	eZRzEYP9oJ	Unit ES_05, Section ES_05-9	EG62A	2	7843.76+631.78x = 430.27x	2006-04-21 08:35:29.0	2006-04-21 08:35:52.0	2006-04-21 08:35:52.0	2006-04-21 08:35:52.0	23.0	23.0		1	0	0	1	[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}]	51
255489	341436	1kKxS8urAH	Unit CTA1_12, Section CTA1_12-3	SYSFB02	3	-0.42857143 = -5.72/f	2006-02-02 10:13:35.0	2006-02-02 10:13:52.0		2006-02-02 10:13:52.0	17.0		17.0	0	1	0	0	[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}]	32
229630	306961	y5009rpZ12	Unit ES_02, Section ES_02-3	EG32C	1	y = 21+(-468)	2005-09-30 09:46:11.0	2005-09-30 09:46:14.0	2005-09-30 09:46:14.0	2005-09-30 09:46:14.0	3.0	3.0		1	0	0	1	[SkillRule: Select Combine Terms; CLT]~~[SkillRule: Consolidate vars, no coeff; CLT]	19~~54
99137	132858	0w3IAZa8rQ	Unit CTA1_06, Section CTA1_06-2	FEB05	1	R1C1	2005-09-30 12:47:41.0	2005-09-30 12:48:37.0	2005-09-30 12:48:37.0	2005-09-30 12:48:37.0	56.0	56.0		1	0	0	1		
328723	439947	l5eh0S53tB	Unit QuadLinearFuncTrans, Section QLFuncTrans6	TRANSFORMA031	1	GRAPHICAL-TRANSFORMATIONS-refl-v	2006-04-10 08:14:50.0	2006-04-10 08:14:53.0		2006-04-10 08:14:53.0	3.0		3.0	0	1	0	0		
8763	12342	52vEY7f17k	Unit CTA1_10, Section CTA1_10-3	DISTFB03_SP	1	R3C2	2006-03-01 12:22:28.0	2006-03-01 12:25:18.0	2006-03-01 12:29:56.0	2006-03-01 12:29:56.0	448.0		448.0	0	1	0	1	Using small numbers~~Write expression, positive slope~~Using difficult numbers	112~~55~~81
212405	284390	tlJn3I40bf	Unit CTA1_04, Section CTA1_04-2	BH1T31B	1	H = 11/5	2005-10-11 15:03:41.0	2005-10-11 15:03:58.0		2005-10-11 15:03:58.0	17.0		17.0	0	1	0	0		
566213	754956	HvghFVBS5v	Unit ES_05, Section ES_05-4	EG59	1	2/81 = 81y/81	2006-04-19 14:55:45.0	2006-04-19 14:55:48.0	2006-04-19 14:55:48.0	2006-04-19 14:56:09.0	24.0	24.0		1	0	0	2	[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	155
287170	382683	bcoY3s64sj	Unit ES_05, Section ES_05-8	EG61	1	-4.67x-6.08-(-3.32) = -3.32+9.36x-(-3.32)	2006-03-03 09:20:15.0	2006-03-03 09:20:50.0		2006-03-03 09:22:16.0	121.0		121.0	0	4	2	0		
264151	353081	56dTCKdr74	Unit CTA1_06, Section CTA1_06-2	DEC02	1	xMax	2005-10-20 08:10:13.0	2005-10-20 08:10:18.0	2005-10-20 08:10:18.0	2005-10-20 08:10:18.0	5.0	5.0		1	0	0	1	Changing axis bounds	77
123848	165699	34f4oB5Cod	Unit CTA1_06, Section CTA1_06-2	L6FB06	1	yMax	2005-11-30 08:37:02.0	2005-11-30 08:37:12.0	2005-11-30 08:37:12.0	2005-11-30 08:37:12.0	10.0	10.0		1	0	0	1	Changing axis bounds	90
191289	256157	odPTXtfS78	Unit CTA1_08, Section CTA1_08-3	JAN12	1	Intercept Field 1	2006-02-03 10:08:15.0	2006-02-03 10:08:19.0	2006-02-03 10:08:19.0	2006-02-03 10:08:19.0	4.0	4.0		1	0	0	1	Entering the y-intercept	19
681168	909305	6d2wZ1x370	Unit CTA1_06, Section CTA1_06-2	FEB05	1	YLabel	2006-02-21 13:50:56.0	2006-02-21 13:52:46.0	2006-02-21 13:52:46.0	2006-02-21 13:52:46.0	110.0	110.0		1	0	0	1	Labelling the axes	3
191219	256087	odPTXtfS78	Unit CTA1_08, Section CTA1_08-3	NOV13	1	R2C2	2006-01-31 14:58:51.0	2006-01-31 14:59:02.0	2006-01-31 14:59:02.0	2006-01-31 14:59:02.0	11.0	11.0		1	0	0	1	Identifying units	149
492200	655912	PE6x6PxZ42	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R1C1	2005-08-30 10:51:36.0	2005-08-30 10:57:38.0	2005-08-30 10:57:38.0	2005-08-30 10:57:38.0	362.0	362.0		1	0	0	1		
96999	130162	XNEgfvXx50	Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-2	EG-FACTOR41	1	a-factor-1	2006-03-01 13:59:39.0	2006-03-01 13:59:43.0	2006-03-01 13:59:43.0	2006-03-01 14:08:25.0	450.0	450.0		1	0	0	4		
414717	552739	XL0eQIoG72	Unit CTA1_12, Section CTA1_12-6	SYSFB11	1	R3C3	2006-01-04 12:26:56.0	2006-01-04 12:27:24.0	2006-01-04 12:27:24.0	2006-01-04 12:27:24.0	28.0	28.0		1	0	0	1	Using small numbers~~Write expression, positive slope~~Using difficult numbers	326~~138~~186
651786	870266	ck0GIf31rJ	Unit ES_03, Section ES_03-4	EG50A	1	38.2y/38.2 = 50/38.2	2006-05-10 10:15:36.0	2006-05-10 10:15:47.0	2006-05-10 10:15:47.0	2006-05-10 10:15:58.0	22.0	22.0		1	0	0	3	[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	14
440471	587447	m64Rgy40OF	Unit CTA1_02, Section CTA1_02-3	L3NOV10B	1	R3C1	2005-10-11 13:23:34.0	2005-10-11 13:23:45.0	2005-10-11 13:23:45.0	2005-10-11 13:23:45.0	11.0	11.0		1	0	0	1	Define Variable	28
667316	891330	EaUoBdvBdC	Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1	EG-S-FACTOR30	1	den1-factor-node	2006-05-16 09:25:08.0	2006-05-16 09:25:12.0	2006-05-16 09:25:12.0	2006-05-16 09:25:12.0	4.0	4.0		1	0	0	1	qft-den-sp	9
715580	955314	081u59Iq1D	Unit ES_03, Section ES_03-2	EG47A	1	constant terms1R1	2006-03-06 22:12:32.0	2006-03-06 22:12:39.0	2006-03-06 22:12:57.0	2006-03-06 22:12:57.0	25.0		25.0	0	2	0	1		
372651	497422	5yasLi1Avt	Unit CTA1_13, Section CTA1_13-1	PROP04	1	R3C2	2005-11-15 14:17:12.0	2005-11-15 14:17:32.0	2005-11-15 14:17:32.0	2005-11-15 14:17:32.0	20.0	20.0		1	0	0	1	Using small numbers~~Write expression, positive slope~~Using difficult numbers	121~~44~~49
209921	280960	t4K5z0e2NZ	Unit CTA1_10, Section CTA1_10-2	REAL18_SP	1	R3C1	2006-01-19 11:34:24.0	2006-01-19 11:34:27.0	2006-01-19 11:34:27.0	2006-01-19 11:34:27.0	3.0	3.0		1	0	0	1	Define Variable	104
636866	849473	pg8uPBYamG	Unit CTA1_08, Section CTA1_08-2	L3_DEMO	1	XLabel	2006-02-24 12:33:56.0	2006-02-24 12:34:07.0	2006-02-24 12:34:07.0	2006-02-24 12:34:07.0	11.0	11.0		1	0	0	1	Labelling the axes	23
533128	710483	31ApG55XoV	Unit CTA1_04, Section CTA1_04-3	BH1T41C	1	R2C2	2006-05-05 12:19:22.0	2006-05-05 12:19:27.0	2006-05-05 12:19:27.0	2006-05-05 12:19:27.0	5.0	5.0		1	0	0	1	Identifying units	89
388969	519008	78t79xOebG	Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1	EG-S-FACTOR18	1	(-1-sqrt(1^2-0))/4 = x	2006-05-26 14:23:34.0	2006-05-26 14:23:40.0	2006-05-26 14:23:40.0	2006-05-26 14:23:40.0	6.0	6.0		1	0	0	1	[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]	103
733737	979283	i0FfLG15di	Unit CTA1_06, Section CTA1_06-4	BH1T48	1	-2500000000-4050000D = 0	2006-03-09 14:17:19.0	2006-03-09 14:17:36.0	2006-03-09 14:17:36.0	2006-03-09 14:17:36.0	17.0	17.0		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]	5~~2
171465	229463	075kbY53c1	Unit CTA1_14, Section CTA1_14-2	1PTFB14	1	R4C1	2006-04-19 12:16:23.0	2006-04-19 12:16:27.0		2006-04-19 12:16:27.0	4.0		4.0	0	1	0	0	Using simple numbers~~Using small numbers~~Find X, negative slope	379~~395~~41
58773	79380	668lBbaKFE	Unit CTA1_01, Section CTA1_01-3	L5FB03A	1	R3C1	2005-09-21 14:21:49.0	2005-09-21 14:21:54.0	2005-09-21 14:21:54.0	2005-09-21 14:21:54.0	5.0	5.0		1	0	0	1	Define Variable	17
506246	674159	X4ZaxfDz3Q	Unit CTA1_02, Section CTA1_02-2	REAL17B	1	XLabel	2005-09-20 11:08:29.0	2005-09-20 11:09:00.0	2005-09-20 11:09:00.0	2005-09-20 11:09:00.0	31.0	31.0		1	0	0	1	Labelling the axes	9
673471	899334	7H6yD0xNNn	Unit EXPT-QUOTIENT-SIMP-A_ES, Section EXPT-QUOTIENT-SIMPLIFYING-A_ES-3	EG-EQS01-FIXED	1	row1-D-x	2006-03-28 13:36:34.0	2006-03-28 13:36:35.0	2006-03-28 13:36:35.0	2006-03-28 13:36:35.0	1.0	1.0		1	0	0	1		
761425	1016885	Rl6LafSUXj	Unit CTA1_06, Section CTA1_06-2	L6FB08	1	R3C2	2006-03-24 08:59:28.0	2006-03-24 08:59:34.0	2006-03-24 08:59:54.0	2006-03-24 08:59:54.0	26.0		26.0	0	0	5	1	Using simple numbers~~Using small numbers~~Write expression, positive slope	10~~50~~18
336525	449737	XTXYl6nJ7J	Unit ES_01, Section ES_01-5	EG15A	1	22.7*41 = x	2005-09-28 10:07:01.0	2005-09-28 10:07:06.0	2005-09-28 10:07:12.0	2005-09-28 10:07:12.0	11.0		11.0	0	1	0	1	[SkillRule: Select Multiply; {MT; MT no fraction coeff}]	20
198760	266202	qL6HDg57R9	Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2	7X-4YGE15	1	7x-4*0 = 15	2006-03-31 09:56:16.0	2006-03-31 09:56:18.0	2006-03-31 09:56:26.0	2006-03-31 09:56:26.0	10.0		10.0	0	1	1	1		
231622	309376	y5009rpZ12	Unit ES_07, Section ES_07-4	LIT63A	1	n*t-z*n = c*j+h*r	2005-12-20 09:58:31.0	2005-12-20 09:58:56.0	2005-12-20 09:59:02.0	2005-12-20 09:59:02.0	31.0		31.0	0	1	0	1	[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}]	25
454714	605452	V2p98HHF6o	Unit CTA1_02, Section CTA1_02-3	L3NOV12A	1	YUnit	2006-03-21 13:22:54.0	2006-03-21 13:23:00.0	2006-03-21 13:23:00.0	2006-03-21 13:23:00.0	6.0	6.0		1	0	0	1		
298084	397655	dvG32rxRzQ	Unit QuadLinearFuncTrans, Section QLFuncTrans7	TRANSFORMA044	1	GRAPHICAL-TRANSFORMATIONS-a	2006-04-10 07:54:19.0	2006-04-10 07:54:36.0	2006-04-10 07:56:45.0	2006-04-10 07:56:45.0	35.667		35.667	0	2	3	1	Choose Graphical a	46
282640	377197	ajPRq0Q08b	Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1	NEWSQUARE4TRE	1	R1C3	2006-04-03 07:48:47.0	2006-04-03 07:48:57.0	2006-04-03 07:48:57.0	2006-04-03 07:48:57.0	10.0	10.0		1	0	0	1		
556299	741375	Dmq6441349	Unit CTA1_04, Section CTA1_04-2	REAL13C	1	R1C1	2005-10-04 09:39:56.0	2005-10-04 09:40:33.0	2005-10-04 09:40:33.0	2005-10-04 09:40:33.0	37.0	37.0		1	0	0	1		
350504	467861	0U9x5pNv8t	Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2	YGT-2X	1	GraphButton1	2006-02-07 14:02:09.0	2006-02-07 14:02:10.0	2006-02-07 14:02:10.0	2006-02-07 14:02:10.0	1.0	1.0		1	0	0	1		
300245	401153	E38It7fjg0	Unit CTA1_08, Section CTA1_08-2	L1FB13	1	R2C1	2005-11-21 08:56:33.0	2005-11-21 08:56:39.0	2005-11-21 08:56:39.0	2005-11-21 08:56:39.0	6.0	6.0		1	0	0	1	Identifying units	141
238341	318185	yB480DNZ70	Unit ES_07, Section ES_07-4	LIT70A	3	6u-x*s = r*w+r*u-r*u+r*u	2006-03-24 10:18:38.0	2006-03-24 10:18:42.0	2006-03-24 10:18:42.0	2006-03-24 10:18:42.0	4.0	4.0		1	0	0	1	[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}]	39
474697	633006	bt0ZuHaCGY	Unit CTA1_06, Section CTA1_06-2	FEB11	1	R5C2	2005-10-13 11:10:53.0	2005-10-13 11:10:59.0	2005-10-13 11:10:59.0	2005-10-13 11:10:59.0	6.0	6.0		1	0	0	1	Entering a given	199
424119	565381	02i5jCrfQK	Unit CTA1_06, Section CTA1_06-3	BH1T40	1	YUnit	2005-10-03 09:46:02.0	2005-10-03 09:46:05.0	2005-10-03 09:46:05.0	2005-10-03 09:46:05.0	3.0	3.0		1	0	0	1		
517986	689723	11fnXrq9Jf	Unit CTA1_06, Section CTA1_06-3	JAN06	1	R3C2	2005-12-08 09:45:08.0	2005-12-08 09:45:53.0	2005-12-08 09:45:53.0	2005-12-08 09:45:53.0	45.0	45.0		1	0	0	1	Using simple numbers~~Write expression, positive slope~~Using large numbers	191~~72~~101
761048	1016472	rE6U5574qn	Unit ES_05, Section ES_05-1	EG43	1	-68 = 18x-26	2006-05-19 09:06:10.0	2006-05-19 09:06:17.0	2006-05-19 09:06:17.0	2006-05-19 09:06:17.0	7.0	7.0		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]	118~~11
107172	143778	6bJ4auIa8L	Unit CTA1_08, Section CTA1_08-2	REAL31	1	Intercept Field 1	2006-01-25 08:47:44.0	2006-01-25 08:47:47.0	2006-01-25 08:47:47.0	2006-01-25 08:47:47.0	3.0	3.0		1	0	0	1	Entering the y-intercept	11
646079	862170	41qrfb88lU	Unit CTA1_14, Section CTA1_14-3	2PTS08	1	R6C2	2006-05-17 10:06:54.0	2006-05-17 10:07:01.0	2006-05-17 10:07:01.0	2006-05-17 10:07:01.0	7.0	7.0		1	0	0	1	Entering a given	114
545338	727138	4X3016rdOZ	Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2	4X-5YGT40	1	4x = 40	2006-04-25 09:45:52.0	2006-04-25 09:45:56.0	2006-04-25 09:45:56.0	2006-04-25 09:45:56.0	4.0	4.0		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	271~~627
600183	800245	dc35t0IQHq	Unit CTA1_02, Section CTA1_02-3	L3NOV10C	1	R2C2	2005-11-03 10:49:32.0	2005-11-03 10:49:41.0	2005-11-03 10:49:41.0	2005-11-03 10:49:41.0	9.0	9.0		1	0	0	1	Identifying units	41
406301	541527	Hd9GW3f95j	Unit CTA1_12, Section CTA1_12-2	SYSFB17	1	R1C2	2006-02-23 14:08:21.0	2006-02-23 14:10:53.0	2006-02-23 14:11:20.0	2006-02-23 14:11:20.0	179.0		179.0	0	2	0	1		
252617	337783	1kKxS8urAH	Unit ES_02, Section ES_02-7	EG41	8	-4 = y/2+9	2005-10-03 07:57:06.0	2005-10-03 07:57:14.0	2005-10-03 07:57:27.0	2005-10-03 07:57:27.0	21.0		21.0	0	1	3	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	76
277864	370637	8csPxY44OZ	Unit CTA1_06, Section CTA1_06-4	BH1T52	1	yMax	2006-05-15 08:59:13.0	2006-05-15 08:59:23.0	2006-05-15 08:59:23.0	2006-05-15 08:59:23.0	10.0	10.0		1	0	0	2	Changing axis bounds	122
306832	410065	Gwk4z777oU	Unit CTA1_06, Section CTA1_06-2	FEB11	1	2X = 30	2005-11-21 08:50:02.0	2005-11-21 08:50:04.0	2005-11-21 08:50:13.0	2005-11-21 08:50:13.0	11.0		11.0	0	0	2	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	43~~86
363992	485804	517LN52NOL	Unit ES_01, Section ES_01-1	EG3	4	7*5	2006-02-16 14:26:39.0	2006-02-16 14:26:42.0	2006-02-16 14:26:42.0	2006-02-16 14:26:42.0	3.0	3.0		1	0	0	1		
564891	753095	HvghFVBS5v	Unit ES_04, Section ES_04-6	EG55A	5	y-2 = -0.25531915	2006-02-09 09:44:45.0	2006-02-09 09:44:54.0	2006-02-09 09:44:54.0	2006-02-09 09:44:54.0	9.0	9.0		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative]	221~~29
699453	933259	MrZ99Q697y	Unit ES_05, Section ES_05-5	EG60	5	2+2x = 0+1x	2006-02-28 08:40:39.0	2006-02-28 08:40:46.0	2006-02-28 08:40:46.0	2006-02-28 08:40:46.0	7.0	7.0		1	0	0	1	[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}]	10
317016	423583	i8f2gg51r5	Unit CTA1_22, Section CTA1_22-1	SYSFB08	1	R2C2	2006-04-10 08:11:29.0	2006-04-10 08:11:33.0	2006-04-10 08:11:41.0	2006-04-10 08:11:41.0	12.0		12.0	0	1	0	1	Identifying units	409
484647	646239	dTIQk6Xt3r	Unit ES_04, Section ES_04-10	EG57A	2	15y+19 = -564	2006-03-30 11:10:26.0	2006-03-30 11:10:45.0	2006-03-30 11:10:45.0	2006-03-30 11:10:45.0	19.0	19.0		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	172
659036	879551	fTCaypQv7J	Unit ES_02, Section ES_02-5	EG40	8	4y+1-1 = 4-1	2006-03-07 10:28:21.0	2006-03-07 10:28:29.0	2006-03-07 10:28:29.0	2006-03-07 10:28:29.0	8.0	8.0		1	0	0	1	[SkillRule: Consolidate vars with coeff; CLT]	25
734699	980511	OCmTg4ha6w	Unit CTA1_06, Section CTA1_06-2	JAN03	1	R4C1	2006-03-09 13:46:33.0	2006-03-09 13:46:37.0	2006-03-09 13:48:30.0	2006-03-09 13:48:30.0	51.0		51.0	0	1	4	1	Entering a given	42
691753	923092	kKr8NG7YNL	Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-2	EG-EPS09	2	(5y^2)(2y^4)	2006-05-02 12:47:37.0	2006-05-02 12:47:46.0	2006-05-02 12:47:46.0	2006-05-02 12:47:46.0	9.0	9.0		1	0	0	1		
487387	649661	m58s5oOZCm	Unit CTA1_06, Section CTA1_06-2	L6FB08	1	YLabel	2005-11-29 11:00:58.0	2005-11-29 11:01:39.0	2005-11-29 11:01:39.0	2005-11-29 11:01:39.0	41.0	41.0		1	0	0	1	Labelling the axes	44
194222	260492	qL6HDg57R9	Unit CTA1_01, Section CTA1_01-2	BH1T22	1	R5C1	2005-09-02 08:56:45.0	2005-09-02 08:56:57.0	2005-09-02 09:05:20.0	2005-09-02 09:05:20.0	31.0		31.0	0	1	0	1	Entering a given	5
89655	119722	F25axtfCKG	Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1	NEWQUAD9TRE	1	R10C1	2006-05-10 14:18:33.0	2006-05-10 14:18:43.0	2006-05-10 14:18:43.0	2006-05-10 14:18:43.0	10.0	10.0		1	0	0	1	Entering a given~~Entering a given linear value	254~~49
759034	1013650	LjgZcY49TV	Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-1	EG-FACTOR02	1	FQCheckButton	2006-05-10 08:43:30.0	2006-05-10 08:43:36.0	2006-05-10 08:43:36.0	2006-05-10 08:43:36.0	6.0	6.0		1	0	0	1		
535969	714348	45TTYcotWk	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R3C2	2005-08-30 10:03:15.0	2005-08-30 10:04:32.0	2005-08-30 10:04:32.0	2005-08-30 10:04:32.0	77.0	77.0		1	0	0	1	Using simple numbers~~Using small numbers~~Write expression, positive slope	4~~4~~1
464291	618792	4NQzySrw2C	Unit CTA1_01, Section CTA1_01-1	LDEMO_WKST	1	R2C1	2005-08-30 10:57:47.0	2005-08-30 10:58:24.0	2005-08-30 10:58:24.0	2005-08-30 10:58:24.0	37.0	37.0		1	0	0	1	Identifying units	1
251258	336018	s39qS245G2	Unit ES_01, Section ES_01-3	EG5	1	x = 2+21	2006-05-24 09:19:51.0	2006-05-24 09:19:54.0	2006-05-24 09:19:54.0	2006-05-24 09:19:54.0	3.0	3.0		1	0	0	1	[SkillRule: Select Combine Terms; CLT]~~[SkillRule: Consolidate vars, no coeff; CLT]	3~~3
742371	990616	971l4W5kQs	Unit CTA1_06, Section CTA1_06-4	BH1T52	1	XUnit	2006-02-21 08:44:39.0	2006-02-21 08:44:41.0	2006-02-21 08:44:41.0	2006-02-21 08:44:41.0	2.0	2.0		1	0	0	1		
762797	1018637	zb6H17h1Dc	Unit ES_02, Section ES_02-8	EG41	5	y/7-9 = 3	2006-03-08 08:43:01.0	2006-03-08 08:43:07.0	2006-03-08 08:43:07.0	2006-03-08 08:43:07.0	6.0	6.0		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	15
674821	900969	8r7mHkuKX9	Unit CTA1_25, Section CTA1_25-1	DEC07	1	R6C2	2006-04-04 13:08:23.0	2006-04-04 13:08:30.0	2006-04-04 13:08:36.0	2006-04-04 13:08:36.0	13.0		13.0	0	1	0	1	Entering a given	47
